,0
Enterovirus_A_Coxsackievirus_A.fa,03e5b0efe376a5d549c8b3330ca8780a
Human_Coxsackievirus_B1_5.fa,1f9982d404941192bae4c377e50d3aba
Human_herpesvirus_3.fa,cfbf85eaa02a128e90fc0d1f005aa5b0
